SRmlVgbspvM,1,1,Justin Roiland,,,,
Lq2H2Dne5Wc,1,1,Felix Kjellberg,,,,
xnm7VO8Fsh4,1,1,Michael Stevens,,,,
7khgBDQR-WQ,1,1,iDubbbz,,,,
8CYAwhTI5vs,1,1,Keemstar,,,,
sImnKoiMEiI,1,1,Philip DeFranco,,,,
l65hR94nfqY,1,1,Post Malone & Joji,,,,
hrEFpGiETu8,1,1,Markiplier & Ian Hecox,,,,
IHL6HazIfQ0,1,1,Joey Salads,,,,
Z9U9TJ4W26k,1,0,Jake Paul,Lance Stewart,,,
nEP_YdWei0Y,1,1,Ethan's Parents,,,,
mtDOr9UY-yk,1,1,Steve-O,,,,
eX1vs8Zt8Ss,1,1,Boogie2988,,,,
7PZSOFsjJRo,1,1,Soflo Antonio,,,,
GSZYeL84t90,1,0,CNN,SoFlo,,,
N4k1gEC0800,1,0,Net Neutrality,,,,
W555pdLeI_I,1,1,Jacksfilms & Internet Comment Etiquette,,,,
qbIPL8ll3sg,1,1,Hugh Mungus,,,,
AYWcC1fcMQw,1,1,Jesse Wellens,,,,
rq8HL3jVy-M,1,1,Jimmie Lee,,,,
MBZC4FxMQ_E,1,0,Joey Salads,Elon Musk,Mark Zuckerberg,,
q_faWNnWhcw,1,0,Jake Paul,Chris Wolfe,,,
t9Yrlsw6J5c,1,0,Jake Paul,Faze Banks,Elon Musk,,
Ek5crC9HvQY,1,0,Skippy,Ryan,,,
4Ol18tycCU8,1,1,Jenna Marbles & Julien Solomita,,,,
jnwzb6DkCLM,1,1,Justin Roiland & Alex Hirsch,,,,
st9FW7BaEV8,1,0,Shoenice,,,,
_UZbgH3pOBA,1,0,PewDiePie,,,,
ey7zaPv00fo,1,1,Jackfilms & Internet Comment Etiquette,,,,
CBBX14zotuI,1,0,PewDiePie,Ethan Klein,Hila Klein,,
HE_NhKiCZpI,1,0,Ethan's Parents,Wendy Williams,,,
GUdGWhfpuoY,1,1,Moe & Ethan Bradberry,,,,
xdrWU77ugqg,1,1,Tai Lopez,,,,
ph5FR-RFhbg,1,1,VideoGameDunkey & Leah,,,,
ZhhXku2Pj5E,1,1,TotalBiscuit,,,,
I9hL4zQy0UI,1,1,DrDisRespect,,,,
vx4ltQhdlhg,1,1,Jordan Peterson,,,,
cTBnDJ77kr0,1,1,Hila Klein,,,,
tr1Loa7r7sY,1,1,Post Malone,,,,
0c0878tn4aw,1,0,Black Friday,,,,
irVe0wQkMXg,1,1,JonTron,,,,
ex_sBZXU6iU,1,1,Philip DeFranco,,,,
hS4XXstzocY,1,1,Michael Stevens,,,,
5pnni35Rmag,1,1,Brendan Greene,,,,
hOLCEvGO-SU,1,0,Jake Paul,Logan Paul,,,
3wV4TxJ8dA8,1,1,Jacksfilms & Internet Comment Etiquette,,,,
fj-KlZIyZ_k&,1,1,Marques Brownlee,,,,
YFANYt52m1g,1,1,Jordan Peterson,,,,
S5Q-s-C-q6I,1,1,Captain Disillusion,,,,
yVeGBT7X-pY,1,0,Logan Paul,,,,
ZxLex9d5Rek,1,1,Rhett & Link,,,,
VXvblzAs6vM,1,1,Shane Dawson,,,,
sUyR_nz-JsA,1,0,Papa John,Female Teacher,,,
tgeZfmSeqXk,1,1,Jake Roper,,,,
RUQ-ePEqeTs,1,0,Philip DeFranco,,,,
CU8q0rX0Y-Y,1,1,Post Malone,,,,
D4JrLoUhHPA,1,1,Bob Saget,,,,
ecrM2MqNlAM,1,1,Sean Evans,,,,
WEMAvnkHA9U,1,1,Deadmau5,,,,
gTV5B1lBG_M,1,1,Bobby Lee,,,,
pY6NGsmzIUg,1,1,Harley Morenstein,,,,
RkKajp0H1Fc,1,0,Jeff Besos,,,,
s12qaVEyW14,1,1,Ninja,,,,
OcQl2ra57ME,1,1,Jacksfilms & Internet Comment Etiquette,,,,
YCYSWUeA8W8,1,1,Logan Paul,Chris D'elia,,,
kDI8dD4vReE,1,0,Kendrick Lamar,,,,
Vx85Bx5tpVw,1,0,Drake,Pusha T,Skippy,Kyle,
m04abAVI3Vk,1,0,William Osman,,,,
O2P5WuxppOA,1,1,Tom Segura,,,,
C00igZTktfc,1,1,Boogie2988,,,,
ecLCI0JhyW4,1,1,Chris D'Elia,,,,
bk3dD0hECOk,1,0,Tana Mongeau,Logan Paul,KSI,,
NV7IN4HzvCI,1,1,Bo Burnham,,,,
2MJLPgGbyY0,1,0,FouseyTube,DaddyOFive,,,
pKENOdgWWUY,1,0,Logan Paul,Roseanne,,,
VQQ1hb8ABzM,1,1,VideoGameDunkey & Leah,,,,
fA8eOB91-fY,1,0,Alex Jones,Ethan Klein,,,
ywo26KHMYwQ,1,1,Jacksepticeye,,,,
mSmhbFr9zO8,1,0,Post Malone,,,,
SrpzwHCsNIA,1,1,Bert Kreischer,,,,
-k4NQJx2b24,1,0,Logan Paul,KSI,,,
dpxirs9L8Cw,1,1,Tim Heidecker,,,,
HJAIRO53zOs,1,0,PewDiePie,T-Series,,,
4NyRkDfORlc,1,1,Bill Burr,,,,
1t4h0XWRnC4,1,0,Greg Paul,Post Malone,Logan Paul,,
ExiLfQ_RyAA,1,0,Shane Dawson,Jake Paul,Drake,Millie Bobby Brown,
LqtzYKm9k7I,1,0,Shane Dawson,Logan Paul,Kanye,,
a2DrjY_YdZI,1,0,Kanye,Donald Trump,,,
xGO-1E0LwhA,1,0,Jake Paul,Shane Dawson,,,
El-AR39Wwr8,1,0,Elon Musk,,,,
NRxciudxGOI,1,0,Post Malone,Kanye,,,
M6NpaiiHiaQ,1,1,Tom Segura and Christina P,,,,
oO95NQb-DcU,1,0,Ethan Klein,,,,
EQpmkVZQhqg,1,0,Ethan Klein,Hila Klein,,,
MI6nQh7rwYo,1,0,,,,,
e_fMuWm5vVA,1,1,Bill Wurtz,,,,
oVxQdMh5FEw,1,1,Tenacious D,,,,
0oLt5qfxtxQ,1,1,Jacksfilms & Internet Comment Etiquette,,,,
nTaI_mX7L2Q,1,1,Justin Roiland & Alex Hirsch,,,,
s0Wrup6Hxak,1,0,Ethan Klein,Hila Klein,,,
HU1_KTNSj7k,2,1,Michael Stevens,,,,
B29sPyBo3_I,2,0,,,,,
hWauSy4epQM,2,1,Chris D'Elia,,,,
utjYy8pabQU,2,0,Shane Dawson,Chuck E. Cheese,,,
FStiNMo4-Jk,2,1,Logic,,,,
-WGeIEK1yY4,2,0,Filthy Frank,,,,
q73TtQLC-W4,2,0,Michael Jackson,R. Kelly,,,
qejmBpzCXOE,2,0,Jake Paul,Logan Paul,,,
PafIrG4WJHU,2,1,Theo Von,,,,
X89jKnxlqwU,2,0,Cardi B,Jussie Smollett,,,
t3pI3JLsdpA,2,1,MrBeast,,,,
T72kZUx18Yo,2,1,Gus Johnson,,,,
PdRHWOp-aq4,2,0,DJ Khaled,Prank Invasion,,,
DsWSC9Sa3PI,2,0,Ethan Klein,Hila Klein,,,
_w6cw_OlUmM,2,1,Boogie2988,,,,
hCeaYuEzbvs,2,0,ProJared,Trisha Paytas,,,
iT-d2t3ptqE,2,0,James Charles,Tati Westbrook,,,
mPxQxw-gZEk,2,0,James Charles,Tati Westbrook,Jeffree Star,,
J4JJ8RUpRhk,2,0,Ethan Klein,Hila Klein,,,
kP8ho4WL0mU,2,0,Hila Klein,Theodore Klein,,,
D0WcBOTLVPA,2,0,Jojo Siwa,,,,
m5_ye2jGKdk,2,0,UMG,,,,
gzFnlFgrE2E,2,0,Belle Delphine,JayStation,,,
UA34AS9XtbU,2,0,Belle Delphine,,,,
LWRqCA1ir9k,2,1,Oliver Tree,,,,
tWBLVHqEHxM,2,1,Chris D'Elia,,,,
WJ2ymkDOjEE,2,0,Belle Delphine,,,,
4DK_6yMgUfc,2,0,,,,,
1owweBRXABQ,2,0,Belle Delphine,Alinity,,,
VgsrRXDlq94,2,0,Lil Nas X,,,,
AH4m_aTgsFQ,2,0,Ninja,,,,
otEbT0l_Hbg,2,1,Andrew Yang,,,,
pKt615DRnV4,2,0,,,,,
